standing, arms at sides, relaxed pose, looking at viewer
sitting, crossed legs, casual, thoughtful expression
walking, motion blur, candid, dynamic
running, athletic, full sprint, motion
looking out window, contemplative, serene
reading a book, focused, cozy
holding a coffee cup, casual morning, relaxed
leaning against wall, cool, confident
reaching out, dynamic gesture, expressive
turning around, caught in motion, candid
laughing, genuine smile, joyful
looking over shoulder, glancing back, dynamic
crouching, low angle, ready stance
arms crossed, confident, composed
hands in pockets, casual, relaxed posture
